0
SAN
WRG
CMH
CID
SAT
CLT
MCO
PHL
ORD
RST
ATL
IAD
CLE
OMA
BWI
SNA
LAS
FLL
GRK
BUF
GRR
ITO
PIT
RSW
MFR
FLG
ASE
MDW
SBA
DFW
BRO
BOS
PBI
SEA
LIH
RDU
DTW
HPN
ELM
MSY
GNV
PIA
SBP
CIU
SFO
JAX
DEN
PHX
JFK
FAY
LGB
IND
CRW
HNL
BZN
BUR
SMF
ONT
IAH
SCC
FAI
JNU
ANC
SJC
LAX
MHT
DAB
JAN
ICT
MSP
RAP
SYR
TVC
BTV
LGA
EWR
ISP
GUC
PSC
SUN
OGG
PSG
SLC
MHK
SBN
MLI
BOI
TOL
MBS
SPI
HOU
DSM
BDL
BQK
BMI
PDX
BTR
COU
SGF
XNA
CVG
FWA
CHO
GEG
TPA
FSD
CDV
DCA
RIC
MRY
JMS
PSP
DAL
MKE
SJU
CWA
MEM
ATW
SJT
CMI
MIA
RNO
HDN
IMT
MKG
JAC
ESC
OAK
AUS
FAR
TYS
ROA
COS
CHS
ORH
EYW
DHN
MDT
MSO
BHM
PLN
ITH
BNA
SDF
FNT
DAY
PNS
SCE
RDM
GTF
KOA
ORF
FAT
PHF
HSV
LEX
SGU
CSG
PIB
AGS
STL
EGE
ROW
EAU
MFE
CLL
CDC
MQT
AZO
LNK
SHV
BGM
AVL
PIE
PVD
JLN
TUS
ROC
MOT
PWM
ALB
AMA
HRL
BQN
VPS
VLD
FSM
LIT
EWN
SWF
ABQ
FCA
COD
BRW
DBQ
ELP
MCI
GSO
ABE
TUL
BIL
BTM
LRD
TXK
GSP
SIT
ALO
LWS
ABY
MOB
MYR
AVP
TTN
LFT
CAK
LYH
CAE
YAK
OKC
EVV
BGR
LCH
TRI
BIS
BPT
EKO
SAV
DRO
ILM
OTZ
AEX
MLU
GPT
ISN
BET
STT
BLI
LBB
ABR
OTH
ACT
CHA
ERI
APN
MTJ
GFK
MSN
GTR
EUG
SAF
PAH
SPS
LAR
TLH
SRQ
OAJ
KTN
CMX
DLH
GRB
LWB
SUX
CRP
OME
CPR
GJT
ACV
MAF
GRI
HYS
SHD
PIH
GCK
HOB
LSE
RKS
MGM
WYS
MLB
ACK
BJI
PSE
RHI
ABI
GCC
MEI
STX
BFL
HTS
HIB
ACY
RDD
ADQ
PPG
TWF
CNY
RFD
TYR
LAW
IDA
GGG
SPN
LAN
INL
DVL
VEL
DRT
MMH
DLG
HLN
GUM
BRD
GST
ADK
MVY
YUM
SMX
HYA
PUB
FLO
AKN
CLD
CEC
DIK
STC
ILG
FOE
LMT
ART
CIC
MOD
IYK
IPL
CYS
TEX
PFN
OXR
MWH
PIR
